recordid,title,author,place,year,language,subject
1.90E+13,"Tables for renewing & purchasing of the leases of Cathedral-churches and colleges, according to several rates of interest; with their construction and use explained. Also tables for renewing and purchasing of lives. With tables for purchasing the leases of land or houses according to several rates of interest, very necessary and usefull for all purchasers, but especially for them who are any way concerned in church or college leases","Newton, Isaac, Sir",Cambridge,1686,English,Agriculture Annuities
1.90E+13,"An answer to the postscript of a paper, publish'd by Sir H.M. one Ph----ps, one or two B---staffs, one L---n and one Waller, intitul'd An answer to several objections against the mine-adventure","Bateman, Thomas",[London?],1698,English,Agriculture Answer to several objections against the Mine-Adventure
1.90E+13,Some reflections on Mr. Asgill's essay on a registry for titles of lands,undefined,London,1698,English,"Agriculture Asgill, John,"
1.90E+13,"Englands royall fishing revived, or a compvtation as well of the charge of a busse or herring-fishing ship: As also of the gaine and profit thereby. With the states proclamation annexed unto the same, as concerning herring-fishing",E. S. (Edward Sharpe),London,1630,English,Agriculture Atlantic herring fisheries
1.90E+13,"A Plea for the sequestred, or a survey of the case, of the purchasers of publick lands, fee-farms, &c. Declaring the Christianity, and unquestionable equity of their surrendring the said lands to the just and undoubted, (though injured) owners of the same, in answer to a late pamphlet, call'd a Plea for such purchasers","J. H., M.A.",[n.p.],1660,English,Agriculture Attachment and garnishment
1.90E+13,"The Case of the purchasers of publick lands, fee-farms, &c. stated: or a plea for such purchasers enjoying their purchased estates, and for the payment of publick faith debts",undefined,London,1660,English,Agriculture Attachment and garnishment
1.90E+13,"Reasons proposed against the passing of the Bill for setling of 24000 acres of land part of the Levell called Lindsey Levell in the County of Lincoln upon George Bampfield Esq. in trust for Sir William Killigrew, Sir Henry Heron, &c",undefined,[n.p.],1661,English,"Agriculture Bampfield, George"
1.90E+13,"An essay upon Master W. Potters designe: concerning a bank of lands to be erected throughout this common-wealth. Whereby lands may be improved in a new way to become the ground for increase of trading, and of publique and private revenues","Hartlib, Samuel",London,1653,English,Agriculture Banks and banking
1.90E+13,An Answer to a paper published by one Bateman against the mine-adventure. By a new adventurer,New adventurer,[London?],1698,English,"Agriculture Bateman, Thomas"
19010082S00800,"An answer to Doctor Burgess his book, entituled A case concerning of buying bishop lands which he spread before the Parliament","Fox, George",London,1659,English,"Agriculture Burges, Cornelius,"
1.90E+13,An Answer to the case of the coasting fishermen,undefined,[n.p.],1715,English,Agriculture Case of the coasting-fishermen of the kingdom of Great Britain
1.90E+13,"A bill for vesting the manour of caton, &c. in the county of Lancaster, in trustees to be sold for payment of the debts and incumbrances charged upon the estate of Edward Riddell Esq; in the county of Northumberland",NULL,[n.p.],1712,English,Agriculture Caton (Manor : Lancashire)
1.90E+13,"By the king. A proclamation to redresse the misimployment of lands, goods, and other things giuen for charitable vses",NULL,London,1605,English,"Agriculture Charitable uses, trusts, and foundations"
19010114S01500,"Husbandry spiritualiz'd- 6th ed., corr.","Flavel, John",London,1700,English,Agriculture Christian life
19010082S00700,A case concerning the buying of bishops lands with the lawfulness thereof,"Burges, Cornelius",London,1659,English,Agriculture Church lands
1.90E+13,"The assurance of Abby and other church-lands in England to the possessors, cleared from the doubts and arguments raised about the danger of resumption: in answer to a lette[r] of a person of quality","Johnston, Nathaniel",London,1687,English,Agriculture Church lands
1.90E+13,An ordinance of the Lords & Commons assembled in Parliament: for removing obstructions in the sale of bishops-lands,NULL,London,1647,English,Agriculture Church lands
1.90E+13,An ordinance of the Lords and Commons assembled in Parliament for removing obstructions in the sale of reversions of bishops lands. Die veneris 17. martii,NULL,London,1647,English,Agriculture Church lands
1.90E+13,"Church-lands not to be sold. or, a necessary and plaine answer to the question of a conscientious protestant; whether the lands of the bishops, and churches in England and Wales may be sold?","Warner, John",[n.p.],1648,English,Agriculture Church lands
19010107S00400,"Abby and other church lands, not yet assured to such possessors as are Roman Catholics","Willes, John",[s.l.],1688,English,Agriculture Church lands
1.90E+13,"A compleat parson: or A description of advowsons, or church-living. Wherein is set forth, the interests of the parson, patron, and ordinary, &c. With many other things concerning the matter, as they were delivered at severall readings at New-Inne","Doddridge, John, Sir",And now published for a common good,1641,English,Agriculture Church of England
1.90E+13,"Vinetum Britannicum: or A treatise of cider, and other wines and drinks extracted from fruits growing in this kingdom. With the method of propagating all sorts of vinous fruit-trees. And a description of the new-invented ingenio or mill, for the more expeditious making of cider. And also the right way of making metheglin and birch-wine. The third impression, much enlarged. To which is added, A discourse teaching the best way of improving bees. With copper plates","Worlidge, John",London,1691,English,Agriculture Cider
1.90E+13,"Overtures for correcting and amending the laws. Humbly presented to his grace the Duke of Queensberry, his majesties high commissioner, and the honourable court of Parliament. By a well-wisher to his countrey",Well-wisher to his countrey,[n.p.],1700,English,Agriculture Civil law
1.90E+13,"The Case of Elizabeth Feild, wife of Theophilus Feild, gent. and Katherine Johnson, widow","Feild, Elizabeth",[n.p.],1711,English,Agriculture Claims against decedents' estates
1.90E+13,"Henry Gorges Esq; and Robert Gorges an infant, by the said Henry Gorges his father and guardian. Appellants. Charles Pye Esq. respondent. The case of the appellants","Gorges, Henry",[n.p.],1711,English,Agriculture Claims against decedents' estates
1.90E+13,"William Darbison (on the demise of Thomas Long) plaintiff, and John Beaumont and Dorothy his wife are defendants. Upon a writ of error brought by the plantiff [!] to reverse a judgment in the exchequer C[h]amber ... The plantiff in errors case","Long, Thomas",[n.p.],1714,English,Agriculture Claims against decedents' estates
