name, birth_loc, pocc, marriage, lastname
Robson Robert Moss , St Dunstan's Stepney Middx,,m 24 Aug 1826 Lee= Kent= Eliza Anne Letton= of Greenwich Eliza b 19 Jul 1827 & bap 18 Jun 1833= Mary bap 8 Jun 1829= Sherwood Augustus bap 5 Nov 1831= Blakely (dau) bap 7 Apr 1833= all at Felpham= Sussex,Robert
Hazard John,,,,John
Want John,,,,John
Kitchin Henry,,,,Henry
Young William Ogston , Strichen Aberdeenshire,,,William
Kinloch George,,,,George
Grant Patrick , Inverness_shire,,,Patrick
Talbert James,,,,James
Steward Gabriel jun,,,,Gabriel
Wood Joseph,,,,Joseph
Teale James,,,,James
Isaac John Henry,,,,John
Lister John,,,,John
Lindsay Robert,,,,Robert
Mathews Abraham,,,,Abraham
Stevens Gary,,,,Gary
Rolfe Robert,,,,Robert
Marshall David , St Cuthbert's pa Edinburgh,merchant,,David
Wyatt William ,,,,William
Lacy Edward,,,,Edward
Byard Robert,,,,Robert
Rolfe Nathaniel,,,,Nathaniel
Atherden Joseph,,,,Joseph
Semple Anthony,,,,Anthony
Tedd John ,,,,John
Cooper Allen ,,,,Allen
Downton Nicholas ,,,,Nicholas
Canty John,,,,John
Mansfield William,,,,William
Stewart William ,,,,William
Goff Joseph , Broad St Presbyterian Church London,,,Joseph
Barnes Robert ,,,,Robert
Dandy George,,,,George
Cassen Richard,,,,Richard
Davenport Charles,,,,Charles
Child Stephen,,,,Stephen
Burnett James ,Scotland,,,James
Humphreys Hugh,,,,Hugh
Fell John,,,,John
Bere George,,,,George
Millechamp West,,,,West
Symonds John,,,,John
Tyrrell John,,,,John
Adam Stephen,,,,Stephen
Carleton William,,,,William
Francis Clement ,,,,Clement
Simpson F,,,,F
Rabett John , Carlton Suffolk,,,John
Thornton George ,,,,George
Sun Isaac,,,,Isaac
Knighton William,,,,William
Hanson James,,,,James
Sutherland James,,,,James
McMillan Michael,,,,Michael
Livesay James,,,,James
James Richard , Presteigne Radnor,,,Richard
Newland Francis,,,,Francis
Darling David ,,,,David
Phillips Joseph,,,,Joseph
Scott Charles James , Inverleithen Edinburgh,minister,,Charles
Evans John,,,,John
Higgs John,,,,John
Worrell James ,,,,James
Becher Richard,,,,Richard
More David,,,,David
Hall Francis ,England,,,Francis
Hull Richard ,,,,Richard
Pile John Newell , Bray Berks,,,John
Wilson John Emperor , Norwich,,,John
Bressey William ,,,,William
Heyden Samuel,,,,Samuel
Abdy William,,,,William
Lander John,,,,John
Wodden Francis,,,,Francis
Jenkins Jeremiah,,,,Jeremiah
Gauler Samuel,,,,Samuel
Heggey _?_ ,,,,_?_
Drake John , Barnstaple Devon,,,John
Villiers Henry,,,,Henry
Watling Edmund Utling , Sotterley Suffolk,,,Edmund
Demaria Thomas,,,,Thomas
Robb Wiliam Sidney , Dundee,,,Wiliam
Sharp John,,,,John
Harry Thomas,,,,Thomas
Sweeper Samuel,,,,Samuel
De Larant Edward,,,,Larant
Baldwin George , St Marylebone London,,,George
Dickson John,,,,John
Warner William ,,,,William
Carr Edward,,,,Edward
Arrow Charles,,,,Charles
Tonyn Patrick,,,,Patrick
Powell James,,,,James
Tiddeman Edward,,,,Edward
Wall Robert,,,,Robert
Leny Robert ,,,,Robert
Fell William,,,,William
Edmonds William , England,,,William
Griffiths George R,,,,George
Webber Leonard,,,,Leonard
Sutherland Thomas,,,,Thomas
Irvine James,,,,James
Johnson Charles,,,,Charles
Biden William Henry , Houghton Hunts,,,William
Dempster George ,,,,George
Thompson James,,,,James
Beaumont John,,,,John
Charlton Richard,,,,Richard
Bowland John,,,,John
Cole John , St Mary Magdalen Bermondsey London,mariner,,John
Kirk Edward,,,,Edward
Stracey Charles,,,,Charles
Barclay Andrew , Kemback Fife,,,Andrew
Penrice George,,,,George
Perdue John,,,,John
Fisher Frederick Horatio ,,,,Frederick
Ridge Benjamin,,,,Benjamin
Morris William John ,,,m 24 Nov 1812 St George's Hanover Sq= London= Sarah Jolly,William
McLachlan Alexander,,,,Alexander
Brown Christopher,,,,Christopher
Shaw Robert,,,,Robert
Luce Philip,,,,Philip
Sherwin Thomas,,,,Thomas
Cuth Thomas,,,,Thomas
Collingwood James ,,,,James
Mackenzie John,,,,John
Irving David,,,,David
Mears John,,,,John
Pedler John,,,,John
Aglionby John ,,,,John
Pile Michael , Sidmouth Devon,,,Michael
Lambora Charles W,,,,Charles
Turner James,,,,James
Blair Thomas , Scotland,,,Thomas
Mackenzie John , Portsmouth,,,John
Petrie William,,,,William
Le Pelley Philip,,,,Pelley
Caldwell Alexander ,Scotland,,,Alexander
Johnson Benjamin,,,,Benjamin
Waller Thomas,,,,Thomas
Bryson Peter ,Scotland,,,Peter
Mitchell George ,,,,George
Colledge Thomas Richardson,,,,Thomas
Wilson Henry sen ,England,,,Henry
Wolfe Henry John , Verdun,Chaplain for British prisoners in France,,Henry
Coxen John ,,,,John
Wych Benjamin,,,,Benjamin
Leach John,,,,John
Weddell Henry R,,,,Henry
McKay John,,,,John
Crombie Patrick,,,,Patrick
Kemeys or Kemys Reginald,,,,or
Daniell Anthony Greene , Knowle House Lastleigh Devon,,,Anthony
Hodgkinson William,,,,William
Hepburn G H,,,,G
Harding John,,,,John
Saunders John ,,,,John
Snow Bernard G,,,,Bernard
Bailey Thomas,,,,Thomas
Delbridge Thomas,,,,Thomas
Fox William Hinde,,,,William
Bingley Richard,,,,Richard
Elliott Henry ,England,,,Henry
Proctor Ambrose Cleghorn , England,,,Ambrose
Patfull William , St George's Bloomsbury London,draper,,William
Pereira Matthew,,,,Matthew
