name, birth_loc, pocc, marriage, lastname
Collinson Samuel,,,,Samuel
Canning John ,England,,,John
Cowham James Murray , Holy Trinity Hull,,,James
Ankle Frederick,,,,Frederick
Thackham Thomas,,,,Thomas
Coyne Phineas ,,,,Phineas
Hunter Thomas,,,,Thomas
Jones Thomas , All Hallows Staining London,,,Thomas
Lynn Thomas , Woodbridge Suffolk,,,Thomas
Bond Alfred,,,,Alfred
Rymell Joshua ,,,,Joshua
Rogers Patrick,,,,Patrick
Seaman Edward or Edmund,,,,Edward
Balmain William ,,,,William
Ireland Edward , Havre de Grace Harford co Canada,,,Edward
Bolton Thomas,,,,Thomas
Newton Henry,,,,Henry
Lethieullier George ,,,,George
Laird John,,,,John
Bailey Philip , Aldham Essex,,,Philip
Roberts Nathaniel,,,,Nathaniel
Buchan Thomas,,,,Thomas
Highlord Edward,,,,Edward
Jackson Alistair,,,,Alistair
Marsh John , Dorking Surrey,,,John
Grahame William ,,,,William
Ferns Abel,,,,Abel
Dorcen Joseph Maynard ,England,,,Joseph
Rackett Charles,,,,Charles
Pitcairn Walker , Dundee,esq,,Walker
Leslie James ,,,,James
Shuttleworth Raynes,,,,Raynes
Orchard John ,,,,John
Jackson Robert,,,,Robert
Waugh George ,St Mary's Rotherhithe London,,,George
Izzard William,,,,William
Beach William ,,,,William
Drummond Richard,,,,Richard
Grigg Samuel,,,,Samuel
Moir John,,,,John
Urquhart John,,,,John
Maxwell Hugh George , Allhallows Barking Essex,,,Hugh
Pritchard Davis,,,,Davis
Davie Jonathan,,,,Jonathan
Ambrose Lawrence , Salemstead Berks,,,Lawrence
Pearson George ,England,,,George
Cooke Thomas ,,,,Thomas
Lester Robert,,,,Robert
Affleck George,,,,George
Wilson Robert,,,,Robert
Hamilton Forrest,,,,Forrest
Austen Robert,,,,Robert
Yate Thomas ,England,,,Thomas
Fox James,,,,James
Skinner John,,,,John
Hyslop Alexander , Dumfries,esq,,Alexander
West William Wade,,,,William
De Charme William M,,,,Charme
Brown James,,,,James
Inskipp John ,England,,,John
Skilling George Lewis,,,,George
Groves Francis,,,,Francis
Walford Henry , All Hallows London,,,Henry
Beard Joseph,,,,Joseph
Trail Anthony,,,,Anthony
Wakefield Thomas ,,,,Thomas
Fletcher William,,,,William
Conway John,,,,John
Blewitt John,,,,John
Saville Richard,,,,Richard
Andrews James,,,,James
Phillips David,,,,David
Rodd George R,,,,George
Docker Joseph , St Michael Bassitshaw London,,,Joseph
Stewart Patrick,,,,Patrick
Peers William ,,,,William
Heaslop Joseph,,,,Joseph
Scott Alexander,,,,Alexander
Mill Hercules,,,,Hercules
De St Croix Nicholas , St John's Hackney Middx,,,St
Cardell Abraham,,,,Abraham
Faulding Samuel,,,,Samuel
Tidy Alexander , St Olave Hart St London,,,Alexander
Gib Colin,,,,Colin
Rogers Thomas ,,,,Thomas
Champain William ,England,,,William
Birdsworth James,,,,James
Wright John ,,,,John
Gibbon A,,,,A
Mackinnon Alexander,,,,Alexander
Parkinson Horatio Nelson , St John's Hampstead Middx,gent,,Horatio
Hammett William ,,,,William
Glegg Henry,,,,Henry
Hughes Henry , Wexford,gent,,Henry
Grote Joseph,,,,Joseph
Lukin Anthony ,,,,Anthony
Landon Samuel , Edmonton Middx,,,Samuel
Markland John Edward (179I_), St Margaret's Leicester,,,John
Wilkinson Walter B,England,,,Walter
Wallis William,,,,William
Smith Andrew , Cumbernauld Dumbarton, writer= proprietor of Westfield and Blackeraig,,Andrew
Callender Kenneth,,,,Kenneth
Toy John,,,,John
Simpson John,,,,John
Clarkson James Oram,,,,James
Grace Charles,,,,Charles
Bond John,,,,John
Ranken Thomas F,,,,Thomas
Christie Peter,,,,Peter
Sprent Duncan,,,,Duncan
Hyde Samuel , Louth Lines,,,Samuel
Jenkins Benjamin,,,,Benjamin
Perkins Francis,,,,Francis
Blyth Richard,,,,Richard
Hargrave William,,,,William
Simmonds James,,,,James
Cute John,,,,John
Serle Leopold,,,,Leopold
Webb Nicholas,,,,Nicholas
Vickers Robert,,,,Robert
Hogg James ,England,,,James
West John,,,,John
Ramsbottom Joseph,,,,Joseph
Wilson John Charles,,,,John
Price Thomas,,,,Thomas
Lyne William Lawrence , Huntington Sussex,,,William
Engel James,,,,James
Godfrey William,,,,William
Bonham Pinson,,,,Pinson
Mackay David,,,,David
Williams Benjamin,,,,Benjamin
Baptiste John,,,,John
Heathorn R P,,,,R
John William,,,,William
Patton William,,,,William
Chapman Alfred , Wanstead Essex,,m 20 Jul 1824 St Marylebone= London= Caroline dau of Sir Francis Workman McNaghten= Kt= Letitia Maria b 14 Jun 1825= Alfred Daniel b 22 May 1827= Francis Steuartb 3 Aug 1829= Edmund Henry b 14 May 1831= William Hay b 25 Sep 1832,Alfred
Butler James,,,,James
Eburne Amos , Ryton_upon_Dunsmore Warwicks,,,Amos
Ireland Richard ,,,,Richard
Edie Thomas ,Scotland,,,Thomas
Sawes Charles ,,,,Charles
Heathfield William ,Hilton Hunts,gent,,William
Wyld Charles,,,,Charles
Mackie Christopher,,,,Christopher
Snow William,,,,William
Cumine Adam , St Andrews Fife,,,Adam
Gisling Moses,,,,Moses
Muirhead John,,,,John
Cranston Andrew ,,,,Andrew
McDougall Dugald , Edinburgh,,,Dugald
Prince Lawrence jun ,,,,Lawrence
Kirton John,,,,John
Linley James,,,,James
McUrkill Allan,,,,Allan
Eaton Thomas,,,,Thomas
Robinson George,,,,George
Adams Thomas,,,,Thomas
Brooke Robert,,,,Robert
Moffat David,,,,David
Baynes John,,,,John
Mason William ,,,,William
Strahan Arthur,,,,Arthur
Rose Adam , Galloway,,,Adam
Pywall William,,,,William
Rexford Lewis,,,,Lewis
Aylward Walter,,,,Walter
Mawson Thomas,,,,Thomas
Dade John,,,,John
Studd John Lynch,,,,John
Martin William,,,,William
Pasley John,,,,John
Lee Charles,,,,Charles
Stow John , St Helen's pa York,silk mercer,,John
Sheares Richard Benjamin , Blackrock co Cork,,,Richard
MacReadie William,,,,William
Moule Edward , St Mary's Scarborough Yorks,,,Edward
Harvey Henry,,,,Henry
Gibbs Daniel,,,,Daniel
Elliott John ,,,,John
Thornhill John Maxwell , St Mary's Lambeth,rev,,John
Spears William,,,,William
Peace William,,,,William
Myers William ,England,,,William
Carmichael Thomas,,,,Thomas
Simpson James ,,,,James
Watson David Blackmore , Cheshunt Herts,,,David
Pleydell Samuel ,,,,Samuel
Reeve John,,,,John
Haldane James,,,,James
Wilkinson John,,,,John
Gellatly Patrick ,,,,Patrick
Abercrombie Bennett,,,,Bennett
Blanchford William,,,,William
MacFarlane James,,,,James
Smith James ,Scotland,,,James
Wright James ,,,,James
Steward George , Yarmouth,merchant,,George
Gibson Joseph,,,,Joseph
Lamb or Lambe John , Dilwyn Herefords,,,or
Stevens Robert,,,,Robert
Davenport James,,,,James
Leigh John,,,,John
Simter James,,,,James
Miles Charles P,,,,Charles
Andrews Peter,,,,Peter
Barker James , Scotland,,,James
Bourne William,,,,William
Todd Thomas , Temple Church London,,,Thomas
Upham Thomas , St Martin's Exeter,,m 1815 Janette Thomson,Thomas
Daw Maximilian,,,,Maximilian
Ashbridge John,,,,John
Dickson James , Eccles Berwickshire,esq,,James
Stroud William,,,,William
Kemp Charles ,,,,Charles
Pyman Francis,,,,Francis
Stewart Alexander ,,,,Alexander
Don James ,,,,James
Grierson John A,,,,John
Patrick Francis,,,,Francis
Freeman Forest,,,,Forest
Smythe James,,,,James
Buckle Richard , Clifton GIos,,,Richard
Brackenbury Richard,,,,Richard
Woolley John,,,,John
Pearce Stephen ,,,,Stephen
MacFarlane William , Edinburgh,,,William
Taylor Joseph,,,,Joseph
Widdrington John,,,,John
Dalrymple William Henry Clarence , England,,,William
Pitkethly James ,,,,James
Lockhart James ,,,,James
Pycroft James , All Hallows Barking London,,,James
Palmby Edward,,,,Edward
Cooper Edward,,,,Edward
Reid John Robert,,,,John
Hinchley John,,,,John
Kellaway James , Winterborne Dorset,,,James
Grant Robert , Edinburgh,,,Robert
Shuttleworth John Robert Sutton ,,,,John
Clarkson William,,,,William
Dumbleton Thomas , East Horsley Surrey,,,Thomas
Kinloch Joseph York ,,,,Joseph
Love John,,,,John
Armiger William,,,,William
Crichton Charles ,,,,Charles
Doveton Samuel,,,,Samuel
Maxwell George , Dumfries,,,George
Bristow Benjamin ,,,,Benjamin
Saxton David,,,,David
Hay William , St Nicholas Garwald East Lothian,,,William
Forster Joseph,,,,Joseph
Foxall Thomas ,,,,Thomas
Mortimer William ,,,,William
Grueber Henry ,,,,Henry
Cullen James,,,,James
Eccles Robert,,,,Robert
Mason John Elliston , St Botolph Aldersgate London,,,John
Bayiis John Osborn,,,,John
Crichton Patrick ,,,,Patrick
Brookbank Samuel,,,,Samuel
Darley James,,,,James
Pyke Thomas , Worth Maltravers Dorset,esq,,Thomas
Lucas Edward,,,,Edward
Littleton Henry,,,,Henry
Newham John,,,,John
Best Thomas,,,,Thomas
Edgeworth Essex , Dublin,,,Essex
Maddox Leonard ,,,,Leonard
Coates John,,,,John
Sim James George,,,,James
Cleugh John,,,,John
Foster James,,,,James
Ellis Samuel,,,,Samuel
Mason Edward,,,,Edward
Smith Richard,,,,Richard
Deane Joseph,,,,Joseph
Wallace James ,,,,James
Urquhart David,,,,David
Dennett Richard ,,,,Richard
McLellan William,,,,William
Jullien Henry Charles,,,,Henry
Harold William,,,,William
Roberts George,,,,George
Barlow Francis Easterby ,St Sepulchre's London,,m 27 May 1815 St Stephen's Coleman Street= London= Eleanor Deborah Deaker Gore Francis William b 5 Nov 1816 Eleanor Ann Sophia b 3 Jun 1820,Francis
Parson Jasper,,,,Jasper
Andrews Thomas,,,,Thomas
Merritt Thomas,,,,Thomas
Johns Samuel,,,,Samuel
Voss Edward , England,,m 4 Apr 1832 St Mary's= Lambeth= Elizabeth Summers Elizabeth Collings bap 21 Feb 1833,Edward
Crafton Thomas,,,,Thomas
Edmeades William , Nursted Kent,,,William
Dean or Deane Robert ,,,,or
Stewart William George Erwin , St George's Bloomsbury London,,,William
Clarke William Stanley , St Botolph Aldersgate London,,,William
Meeke Joseph ,,,,Joseph
Fookes William,,,,William
Watts Alexander,,,,Alexander
Elliott James,,,,James
Adney Thomas Metcalfe ,St Mary's Newington Surrey,,,Thomas
Godfrey Isaac,,,,Isaac
Gardyne James ,Scotland,,,James
Smith William Francis,,,,William
Hopper George,,,,George
Edmeades Thomas ,,,,Thomas
Convin John,,,,John
Bagwell George,,,,George
Winchester Joshua,,,,Joshua
Harrington Henry John,,,,Henry
Balchen William,,,,William
Boyes Richard ,,,,Richard
Pickering Willoughby Richard ,,,,Willoughby
Booth James,,,,James
Barclay Andrew,,,,Andrew
Gillett Thomas,,,,Thomas
Dennis Henry ,,,,Henry
Richie David,,,,David
Wright William Cook , St Mary's Whitechapel London,,,William
Bell John ,England,,,John
Russell Edward,,,,Edward
Griffin Goldsmith,,,,Goldsmith
Snow Edward,,,,Edward
Milner Samuel ,England,,,Samuel
Brooks Robert ,,,,Robert
Snow William , Southam Warwicks,,,William
Maingy Thomas Lauga , St Peter Port Guernsey,,,Thomas
Anstis Nicholas,,,,Nicholas
Perry Edmund,,,,Edmund
Gibbons Joseph ,,,,Joseph
Alsop Benjamin ,,,,Benjamin
Biden Christopher , Houghton Hunts,,,Christopher
Hunter David,,,,David
Granger Richard,,,,Richard
Annesley Francis , Denaticon co Down,,,Francis
Sandford Charles Samuel Roberts , Chelmsford Essex,,,Charles
Cockburn George , Cockpen Midlothian,esq,,George
Saunderson William ,,,,William
Turner John,,,,John
Meredith John,,,,John
Compton Edward ,,,,Edward
Browne William,,,,William
Knox Willis Frederic , St Anne's Soho London,esq,,Willis
Cock Ambrose ,,,,Ambrose
Binks Richard , Bowes Yorshire,,,Richard
Orton Peter,,,,Peter
Hampin Henry,,,,Henry
Lamb William,,,,William
Turner Samuel,,,,Samuel
Kirby Richard ,,,,Richard
Cotterby Balthazar,,,,Balthazar
Cleland Augustus Maezus , Redemone co Down,,,Augustus
Dowson T,,,,T
Brangwin Benjamin,,,,Benjamin
Richardson John,,,,John
Bainton Richard,,,,Richard
Mure Colville,,,,Colville
Jenkins Robert,,,,Robert
Welton William,,,,William
Abbott George ,St Dunstan's Kent ,,,George
McLean Stephen ,,,,Stephen
Francis Charles,,,,Charles
Blow James,,,,James
Longlands John Flockhart , St James's Piccadilly London,,,John
Price Puchard,,,,Puchard
Balston Edward , Winterborne St Martin Dorset,,,Edward
Revett Edward,,,,Edward
Meek John,,,,John
Chaloner Charles , Guisborough Yorks,,,Charles
Beard Richard ,,,,Richard
Frith Edward,,,,Edward
Staners William,,,,William
Oliver Isaac ,,,,Isaac
Conway D B,,,,D
Howard Richard , Morden Surrey,,,Richard
Ferrite John,,,,John
Sandford John,,,,John
Harper Augustus,,,,Augustus
Lumsdaine Robert,,,,Robert
Cameron John , Lundaaray Inverness,,,John
Taunton Thomas ,England,,,Thomas
Gilbert Benjamin,,,,Benjamin
Spooner Thomas,,,,Thomas
Buckhall John,,,,John
Borrowdale John ,England,,,John
Porter Francis ,,,,Francis
Machan Hugh,,,,Hugh
Potter John,,,,John
Allen Benjamin ,,,,Benjamin
Cobb Henry,England,,,Henry
Holgate Thomas,,,,Thomas
Watson Henry ,,,,Henry
Gibbons Alexander,,,,Alexander
Houghton Michael Morley ,,,,Michael
Finlay George ,Scotland,,,George
Court Thomas,,,,Thomas
Johnson William,,,,William
Cuttance Roger,,,,Roger
Gilbert Francis,,,,Francis
Reid William , England,,,William
Evans John , Neath Glamorgan,,,John
Barton Peter,,,,Peter
Auldjo Louis,,,,Louis
Humphrys Richard,,,,Richard
Boyes Thomas,,,,Thomas
Hannan John ,,,,John
Niven Thomas,,,,Thomas
Shilling Andrew,,,,Andrew
Roy Andrew,,,,Andrew
Hunter Foulds W ,,,,Foulds
Bell George,,,,George
Spooner Robert,,,,Robert
Swettenham Thomas,,,,Thomas
Bailey or Bayley Henry Lambart , Knockdrin Castle co West Meath,,,or
Owen Benjamin,,,,Benjamin
Young John,Scotland,,,John
Fitzgerald Gerald,,,,Gerald
Elmer Francis,,,,Francis
Ranney John,,,,John
Billingsley John , Chancery Lane St Dunstan_in_the_West London,,,John
Ennis John Charles , Ireland,,,John
Fraser Alexander , England,,,Alexander
Marsh Charles , St George's Colgate Norwich,warehouseman,,Charles
Ellis Edward Smith , St Mary's pa Castlegate York,,,Edward
Smales Thomas , St Katherine_by_the_Tower London,,,Thomas
Johnson or Johnston William,,,,or
Fairer William Elisha , St Mary's Rotherhithe Kent,,,William
Reddall Finch,,,,Finch
Porter Matthew,,,,Matthew
McLeod John,,,,John
Corderoy John,,,,John
Craddock Richard,,,,Richard
Browne James,,,,James
Watkins Robert,,,,Robert
Burlin Francis,,,,Francis
Bradley Stephen,,,,Stephen
Frampton George , St Peter's Dorchester,,,George
Webber William sen,,,m 20 Feb 1755 Elizabeth Webster,William
Broadbent William,,,,William
Montague Joseph ,England,,,Joseph
Swaine Edward,,,,Edward
Foote Samuel,,,,Samuel
Marriatt George,,,,George
Stuart James,,,,James
Gary John,,,,John
Slater Gilbert,,,,Gilbert
Cantelo John Linley,,,,John
Deaver James,,,,James
Orme William,,,,William
Arminger John,,,,John
Whistler James,,,,James
Smith Samuel , Ewell Surrey,esq,,Samuel
Bernard John,,,,John
Bean Charles Hutton,,,,Charles
White Daniel ,,,,Daniel
Humphreys George,,,,George
Rose Hugh ,England,,,Hugh
Parrock Stephen ,,,,Stephen
Martin _?_,,,,_?_
Watson Jeremiah Lewis , England,,,Jeremiah
Mollison Thomas ,,,,Thomas
Laing John,,,,John
Elphinstone George Keith,,,,George
Fogo William,,,,William
Archdeacon Robert,,,,Robert
Graham W G,,,,W
Wight Andrew,,,,Andrew
Pulleyn Rev Thomas ,,,,Rev
Revett Andrew Thomas,,,,Andrew
Donne Benjamin , Bristol,,,Benjamin
Day Thomas,,,,Thomas
Hamm William ,,,,William
Rush Abraham,,,,Abraham
Nairne Alexander , Pitteneem Fife,,m 14 Apr 1824 St Giles= Camberwell= Surrey= Anne Spencer Domett James b 7 Nov & bap 31 Dec 1830 Camberwell Alexander Kyd b 15 May & bap 2 Aug 1838 Camberwell both sons entered the EIC's Civil Service,Alexander
Stevens George , St Augustine's pa Somerset,,,George
Haskins Henry D,,,,Henry
Crouch Edmund,,,,Edmund
Peacock Tempest,,,,Tempest
Reid Hugh Atkins , London,,,Hugh
Menzies Alexander,,,,Alexander
Pomfret John ,England,,,John
Worsley Thomas,,,,Thomas
Ferron William Michael , St James' Piccadilly London,,,William
Rogers Samuel ,,,,Samuel
Knight Richard Chalmers , Dundee,sailor,,Richard
Connal Michael,,,,Michael
Ostler William ,,,,William
Lennon John,,,,John
Hoxton Walter ,,,,Walter
Bright Jeremiah,,,,Jeremiah
Little John,,,,John
Seaman Edward,,,,Edward
Borwick Halley,,,,Halley
Mellach Newman,,,,Newman
Ellis James,,,,James
Parker William,,,,William
Jodrell Philip,,,,Philip
Parrat Richard Loveridge,,,,Richard
Thornton Giles,,,,Giles
Lonsdell Joseph,,,,Joseph
Arlond Edward,,,,Edward
Nairne John , Benkulen Sumatra,,,John
Goodwyn Charles Samuel ,England,,,Charles
Springal _?_,,,,_?_
Dalgas Edward,,,,Edward
Cullum Henry,,,,Henry
Oliver George,,,,George
Jackson John,,,,John
Black Alexander,,,,Alexander
Brooks Robert,England,,,Robert
Samuel John,,,,John
Ashford Thomas ,,,,Thomas
Dunn Edward,,,,Edward
Griffith John,,,,John
Walker Robert,,,,Robert
Aitchison Andrew ,England,,,Andrew
Neish James,,,,James
Warden Andrew,,,,Andrew
Newton George ,,,,George
Hutchinson John,,,,John
Ballaire William ,,,,William
Lepard Thomas,,,,Thomas
White William Tryon , New York,,,William
Craddock Peter,,,,Peter
Nicol William,,,,William
Shaw George G,,,,George
Powell John,,,,John
Field James,,,,James
Romer Collingwood ,,,,Collingwood
Sproull Robert ,,,,Robert
Gunner Adrian,,,,Adrian
Carnall Samuel,,,,Samuel
Cowland Peter,,,,Peter
Mayhew John,,,,John
Scott George ,Scotland,,,George
Mowat James [George] , St Paul's pa Aberdeen,hat maker,,James
Crichton Thomas,,,,Thomas
Ayres Stephen Hawes,,,,Stephen
Fallowfield Thomas ,Cumberland,,,Thomas
Butcher Semiah ,,,,Semiah
Carroll Charles,,,,Charles
Robinson James,,,,James
Sturgeon Terry,,,,Terry
Lennox John,,,,John
Round Edward,,,,Edward
Uvedale Henry ,,,,Henry
Foulis Charles,,,,Charles
Leithman John,,,,John
Ware William Watson , St Luke's Chelsea Middx,,,William
O'Brien John,,,,John
Rogers John ,England,,,John
Stevenson William Murray , Vellore Madras,,,William
Norton James , Newark Notts,,,James
Hooper Charles,,,,Charles
Seacombe Arthur,,,,Arthur
Perkins William,,,,William
Johnstone Andrew,,,,Andrew
Hughes William,,,,William
Quintin Joseph ,,,,Joseph
Payne William,,,,William
Robinson Henry,,,,Henry
Allen James ,Trinity Chapel Salford Lanes,hatter,,James
Wills William,,,,William
Jones Louis,,,,Louis
Shore John,,,,John
Heathcote Nigel Thomas Edensor , Condover Salop,gent,,Nigel
Bowen William Atkins , Cork,,,William
Studd Ralph ,,,,Ralph
Bailey William ,,,,William
Power Richard,,,,Richard
Hogan John,,,,John
McAdam William,,,,William
Nevin John,,,,John
Green Joseph,,,,Joseph
Sands Dugald,,,,Dugald
Drummond George ,,,,George
Blew William,,,,William
Morris John,,,,John
Cormack James,,,,James
Evers James,,,,James
Richardson R B,,,,R
Walker Samuel , Butterleigh Devon,rev,,Samuel
Redmond Richard,,,,Richard
Bond Thomas,,,,Thomas
Annell John,,,,John
Atkins Robert F,,,,Robert
Fearne William ,,,,William
Dow Francis Thomas , St Martin_in_the_Fields London,,,Francis
Brooks Henry,,,,Henry
Conway Robert,,,,Robert
Gillies Peter , Carron Stirlingshire,,,Peter
Hockin John , Phillack,rector,,John
Coggan Francis William John,,,,Francis
Mortimer Hugh H,,,,Hugh
Brunton Chichester Wray,,,,Chichester
Penny William Thayer , St Martin_in_the_Fields London,,,William
Parkin Thomas,,,,Thomas
Fauset Godfrey ,,,,Godfrey
Rice David,,,,David
Knuitson A,,,,A
Coatsworth Charles ,,,,Charles
Gibson Richard,,,,Richard
Trumar John,,,,John
Cawthorn Frederick , Newington Surrey,,,Frederick
Doake John,,,,John
Dickson Richard Watson , St Sepulchre's London,,,Richard
Grigg Thomas,,,,Thomas
Locke Robert , St John's Hackney Middx,,m 17 Jun 1815 Bombay= Louisa Elliot,Robert
Burrough James ,England,,,James
Fossey John,,,,John
Williams Joseph,,,,Joseph
Gosfright Richard,,,,Richard
Shuttleworth Digby,,,,Digby
Gifford James ,,,,James
Bennett Charles Bowles , Weymouth SedgeMl Wilts,,,Charles
Skottowe Nicholas,,,,Nicholas
Dorien or Dorin Joseph ,England,,,or
Appleby William,,,,William
Lascelles Henry,,,,Henry
Mayersbach Louis,,,,Louis
Redford Frederick,,,,Frederick
Blackford John,,,,John
Bett Alexander ,Scotland,,,Alexander
Tyrell Henry,,,,Henry
Probyn George , Lea Herefords,rev,m 1 Jun 1826 St Marylebone= London= Alicia dau of Sir Francis Workman MacNaghten= William George b 15 May 1827= Francis Gordon b 6 Feb 1829= Dighton MacNaghten b 21 Jan 1833a11 b & bap St Marylebone= Lesley Charles b 11 Aug 1834,George
Delafons Thomas,,,,Thomas
Baynes Charles , Stowmarket Suffolk,,,Charles
Harris Richard ,,,,Richard
Hutchinson William,,,,William
Fell David,,,,David
Charlton William,,,,William
Mackellar Duncan,,,,Duncan
Lancaster James Rigby , St Mary's Walthamstow Essex,,,James
Gibbons Bartholomew,,,,Bartholomew
Keough William , St Mary's New Ross co Wexford,,,William
Kennedy Patrick,,,,Patrick
Ponsonby John, England,,,John
Newnam Thomas,,,,Thomas
Kilgour Edward ,,,,Edward
Lloyd Nathaniel ,,,,Nathaniel
Totten John,,,,John
Dowers Edward,,,,Edward
Weeding Thomas,,,,Thomas
Mason Henry,,,,Henry
Shuter Richard,,,,Richard
Moore Robert,,,,Robert
McCloud Daniel,,,,Daniel
Price Howell,,,,Howell
Banson William,,,,William
Yaldwyn William,,,,William
Langlands Robert,,,,Robert
Ball Samuel,,,,Samuel
Bond Benjamin ,  St Mary's Lambeth,,,Benjamin
Napper Samuel ,,,,Samuel
Boyce John ,England,,,John
Mann George,,,,George
Grant Ludovic , Scotland,,,Ludovic
Burford John,,,,John
Cooke Francis,,,,Francis
Corsellis Frederick ,,,,Frederick
Gramlick Edward,,,,Edward
Tomlin William,,,,William
Pigott William,,,,William
Canney Abraham ,,,,Abraham
Alford Robert,,,,Robert
Lanford Samuel,,,,Samuel
Luyken Jacob Wynard , West Indies,,,Jacob
Pickett Charles,,,,Charles
Knight James ,England,,,James
Cooper E,,,,E
James Edward,,,,Edward
Musgrave Thomas,,,,Thomas
Simpson W B,,,,W
Marlowe Anthony,,,,Anthony
Walker Russell,,,,Russell
Leaf Peter,,,,Peter
Bays John,,,,John
Clevenger Charles,,,,Charles
Buller James,,,,James
Berkeley Alexander,,,,Alexander
Fulton Robert,,,,Robert
Duncombe David,,,,David
Fairfax William , St Helen's pa Worcester,,,William
Darvie Liscomb,,,,Liscomb
Shittler Robert Brown , England,,,Robert
Fea John ,,,,John
Norfor Robert Wright , Gt Yarmouth Norfolk,,,Robert
Mannington William,,,,William
Carnick John,,,,John
Buttall Humphrey ,,,,Humphrey
Eastfield William John , St Dunstan's Stepney Middx,shipwright,,William
James William,,,,William
Stephens or Stevens John,,,,or
Eyre Edward ,,,,Edward
Smyth James , Garrock Kirkcudbright,,,James
Coles William ,St Bride's Fleet St London,,,William
Harbin Henry,,,,Henry
Magnus Francis,,,,Francis
Cumming or Coming Alexander , Shetland Isles,,,or
Wood Searles , Melton Suffolk,gent,,Searles
Richards Thomas,,,,Thomas
Grindley Thomas ,England,,,Thomas
Brown Gunter Lyde , St John Zachariah London,,,Gunter
Carroll Joseph,,,,Joseph
Baker Richard,,,,Richard
Duncan Francis ,,,,Francis
Lansdowne William,,,,William
Lyon John,,,,John
Purnell Row,,,,Row
Latour Joseph,,,,Joseph
Riddock George ,,,,George
Stanton Joseph , Stroud Glos,,,Joseph
Wightman Archibald,,,,Archibald
Hyde Robert ,,,,Robert
Wildridge Peter , Leith Edinburgh,,,Peter
Clayton Eldred,,,,Eldred
Fea Alexander,,,,Alexander
Johnson Joseph,,,,Joseph
D'Abbadie William,,,,William
Hatfield William ,,,,William
Barber William,,,,William
Poultney Robert,,,,Robert
Rugg Henry,,,,Henry
Montgomerie Alexander ,,,,Alexander
Western John,,,,John
Richards _?_,,,,_?_
Wigram Robert,,,,Robert
Barclay Robert,,,,Robert
Fall Clement ,England,,,Clement
Fox John ,England,,m 5 Jul 1788 St George's Hanover Sq= London= Ann Stairbank,John
Marshall Joseph ,,,,Joseph
Sykes Peter , St Olave Hart St London,,,Peter
Nucella Jonathan,,,,Jonathan
Hancock Henry,,,,Henry
Monison Walter,,,,Walter
Gifford Henry ,,,,Henry
Hopkins Thomas,,,,Thomas
Richardson John ,,,,John
Jardine David,,,,David
English Cornelius,,,,Cornelius
Osborne Woodbury,,,,Woodbury
Bendall Richard,,,,Richard
Master James,,,,James
Davies or Davis Richard , Hackney Middx,,,or
Isaacson Henry Stuteville Hugh , England,,,Henry
Brock James ,,,,James
Finch Robert William,,,,Robert
Hume Alexander ,Scotland,esq,,Alexander
Carter Joseph,,,,Joseph
Le Geyt George ,,,,Geyt
Jones Robert ,,,,Robert
Purvis Richard,,,,Richard
Kettleby James,,,,James
Forbes George , Edinburgh,,,George
Fergusson Benjamin,,,,Benjamin
Urquhart George ,,,,George
Fraser John,,,,John
Colville John ,Scotland,,,John
Hinchliffe Richard ,,,,Richard
Bowers John,,,,John
King Henry , St Mary the Virgin Dover,,,Henry
Aaltwell George,,,,George
Agnew William ,in Ireland,,,William
Rooke Joseph ,,,,Joseph
Gallagher William Emanuel , Bordeaux,,,William
Maitland Adam,,,,Adam
Debonnaire John,,,,John
Small Daniel ,,,,Daniel
Grasley Robert , Spilsby Lines,,,Robert
McNamara James,,,,James
Wittlash Thomas,,,,Thomas
Handley Henry,,,,Henry
Farrell John,,,,John
Hussey William Carpenter , St Saviour's Southwark London,gent,,William
Langworth Thomas ,,,,Thomas
Allardyce Thomas,,,,Thomas
Crocker John,,,,John
Lindsay James,,,,James
Paterson Thomas ,,,,Thomas
D'Abbadie Francis,,,,Francis
Hufflett William , St Andrew's Holborn London,,,William
Kidd William Holland , St James's Piccadilly London,,,William
Davis William,,,,William
Bowden Richard,,,,Richard
Blomfield John,,,,John
Budd John,,,,John
Deane Charles ,,,,Charles
Duncan Thomas , Inverness,,m 20 Oct 1799 St George's= Hanover Sq= London= Margaret McBeath= of Greenhithe,Thomas
Kerr Mark,,,,Mark
Doutty M,,,,M
Twiss Jonathan,,,,Jonathan
Brown James Temple,,,,James
Cousins John , All Saints' Maidstone Kent,,,John
Cruger Anthony ,England,,,Anthony
Goodson Joseph , St Mary's Rotherhithe Surrey,,,Joseph
Blackwell James ,England,,,James
Skottowe John Bellinger ,,,,John
Duxbury William,,,,William
Douglas Thomas,,,,Thomas
Lucas Bartholomew,,,,Bartholomew
Fewson Consett,,,,Consett
Liston Archibald ,,,,Archibald
Richardson James ,,,,James
Mount George ,,,,George
Whistler Ralph,,,,Ralph
Glegg David , Montrose Forfar,,,David
Cattley Francis , St Giles Camberwell Surrey,,,Francis
Simpson Henry , England,,,Henry
Heming George , Caldecote Hall Warwicks,,,George
Scawen Richard,,,,Richard
Harrison George ,,,,George
Champion Thomas,,,,Thomas
Hare Edward B , St Mary Redcliff Bristol,,,Edward
Carniey George,,,,George
Ashford Arthur,,,,Arthur
Fullerton John,,,,John
Morse John,,,,John
Burton Joseph,,,,Joseph
