id, name
476,Elsmore John
477,Erwyn George
478,Esplin John
479,Evans Arthur
480,Evans John
481,Everest Roger Barnston
483,Eyles James
484,Eymout John
485,Fairfax James
486,Fairfax William
487,Fairfull Robert
488,Faith William
489,Farington Richard Atherton
490,Farington William
491,Farquharson James
492,Farrer Henry
493,Farrer William Elisha
494,Farrer William Ward
495,Fea Peter
496,Fearon James Peter
497,Fellers John H.
498,Fellowes William Dorset
499,Fenn Bernard
500,Fenner Parson
502,Fergusson Benjamin
503,Fernell William
504,Fewson Thomas
505,Field Thomas
506,Field Timothy
507,Fiott Edward
508,Fisher Benjamin
509,Fisher Francis
510,Fisher Robert
511,FitzHugh William
512,Fletcher Henry
513,Flower John
514,Fogo Alexander
515,Foord Edward
516,Foot John
517,Forbes George
518,Forbes James Keith
519,Ford Henry William
520,Forrest Thomas
521,Forrester Bernard
522,Fortescue Francis
523,Foster James
524,Foster William
525,Fotheringham Alexander
526,Foubister Peter
527,Foulis Charles
528,Foulkes John Davy
529,Foulls Charles
530,Fowler Francis
531,Fowler Robert Cook
533,Fox Gilson Reeves
534,Fox John
535,Foxall Thomas
536,Foy James
538,Francklin Richard
539,Franklin John
540,Franklin John Robinson
8282,Mumford John 
542,Fraser Hugh
543,Fraser John Small Henry
544,Fraser William
545,Frayer James
546,Freeman Fielder
547,Freeman John
548,Freke William
549,Frognall Phineas
550,Frognall Thomas
551,Fulcher William Barker
552,Gaillard Frederick
553,Gale John
554,Gallon John
555,Galloway
556,Gamage William Dick
557,Gardiner Henry
558,Gardiner Martin
559,Gardner Patrick
560,Garnault Joseph
561,Gayer John
562,Gelston William
563,Gerrard John
564,Gib Colin
565,Gilbert Charles
566,Gilbert Thomas
567,Gilmore John
568,Gilmore Mungo
569,Gilpin Thomas
570,Glasspoole Richard
571,Gledstanes Albert
572,Glegg Henry
573,Glover Alphonsus
574,Godfrey Benjamin
575,Godfrey Edward
576,Gooch George
577,Goodall Bartholomew
578,Goodfellow John
579,Goodlad William
580,Goodman Samuel
581,Goodsole John
582,Gordon Charles
583,Gordon John
584,Gordon Peter
585,Gordon William
586,Gore Arthur
587,Gosfright Richard
588,Gosnall Benjamin
589,Gostlin Francis
590,Gough Charles
591,Gough Henry
592,Gowland Benjamin
593,Graham Charles
594,Graham Thomas
595,Grainger Richard
596,Grant James Ludovic
597,Grant Peter
598,Grantham Caleb
599,Grantham Nathaniel
600,Grantham Sir Thomas
601,Gray Alexander
602,Gray George
603,Green Abraham
604,Barclay or Barkeley Charles
606,Greenway William Brown
607,Greer William
608,Gregorie Charles
609,Grey Robert
611,Gribble Charles Besly
612,Gribble Henry
613,Grieve Andrew
614,Griffin John
615,Grote Joseph
616,Grove Philip
617,Grueber Henry
618,Guise John
619,Gyfford William
620,Haddock Joseph
621,Haggis Charles
622,Haig James
623,Haig William
624,Haldane James
625,Haldane John
626,Haldane Robert
627,Hale Roger
628,Halkett Henry
629,Hall John
630,Hall Joseph
631,Hall Richard
632,Hall Sampson
633,Hall William
634,Hallett John
635,Hallewell John
636,Halliburton James
637,Hambly William
638,Hamilton Alexander
639,Hamilton Archibald
640,Hamilton James
641,Hamilton John
642,Hamilton Montgomerie
643,Hamilton William
644,Hammett William
645,Hammond Henry
646,Hancock Nathaniel
647,Hannay Andrew
648,Hanslapp Robert
649,Hardcastle William
650,Harding John
651,Hardinge Richard
652,Hardwicke Peter
653,Hardyman William Henry
655,Harman Thomas Jr.
657,Harriman Edward
658,Harrington Thomas Talbot
659,Harris Christopher
660,Harris Francis
661,Harris Henry
662,Harris Thomas Herbert
663,Harrison Edward
664,Harrison William
665,Harrower George
666,Harry Benjamin
667,Harry Thomas
