author
A. B.
A. D.
A. M. (Alexander Mudie)
A. N.
A. V. (A. Vickaris)
Abercromby  Patrick
Coole  Benjamin
Cooper  Richard  farmer in the county of Nottingham
Copping  J.
Cornwallis  William  Sir
Corso  John
Cottington  Angela Margarita
Cottington  Charles
Cotton  Robert  Sir
Counsellor learned in the law
Countrey trades-man
Country gentleman
Country-man  a well-willer of the city  and a lover of truth and peace
Court  Pieter de la
Courten  William
Courtilz de Sandras  Gatien
Covel  William
Coventry  William  Sir
Cowper  Spencer
Cox  Charles  Sir
Cox  Richard  Sir
Coxe  Thomas
Cradock  Z. (Zachary)
Cradocke  Francis
Cranford  James
Crashaw  William
Creshald  Richard
Crew  Richard
Crisp  John  Sir
Crofton  Zachary
Cromarty  George Mackenzie  Earl of
Crommelin  Louis
Crompton  Richard
Crookshanks  John
Crosfeild  Robert
Crosse  Thomas  goldsmith
Crull  J. (Jocodus)
Cullen  Francis Grant  Lord
Culpeper  Thomas  Sir
Cumberland  Richard
Cuming  Alexander  Sir
Curtois  John
Cuthbert  John
D'Ewes  Simonds  Sir
D'Urfey  Thomas
D. C.
D. S.
D. S.  Mr.
D. T.
Dacre  Dorothy  Lady
Dafforne  Richard
Dagget  George
Dal  Nils Hufwedsson
Dallington  Robert
Dalrymple  David  Sir
Dalton  Michael
Danckelman  Karl Ludolf  Freiherr von
Dangerfield  Thomas
Darling  John
Davanzati  Bernardo
Davenant  Charles
Davenport  Francis  Historiographer
Davies  John  Sir
Davies  John  citizen and fishmonger of London
Dawson  Richard
Dawsonne  William
De Britaine  William
De Laune  Thomas
Defoe  Daniel
Degge  Simon  Sir
Delamere  Walter
Delaney  Thomas
Della Valle  Pietro
Deloney  Thomas
Denne  Henry
Denneston  E.
Dennis  John
Dent  Daniel
Denton  Daniel
Derham  W. (William)
Dernath  Gerhard  Graf von
Digges  Dudley  Sir
Digges  Thomas
Dijkman  Petter
Disinterested hand
Distaff  Jenny
Divine of the Church of England
Doddridge  John  Sir
Dodson  William
Dodwell  Henry
Donaldson  James
Dorrill  Robert
Douglas  Andrew
Downame  George
Downame  John
Downing  George  Sir
Drake  James
Drake  Nathan
Dring  Thomas
Drope  Francis
Drummond  John  merchant
Du Chastelet  Paul Hay  marquis
Dubravius  Jan
Duckett  Thomas
Dudley  Paul
Dufour  Philippe Sylvestre
Dugard  Samuel
Dugdale  William  Sir
Duke  George  Esq.
